id,date,venue,city,country,latitude,longitude,tour,setlist
43ab83af,08-10-2024,Kia Forum,"Inglewood, CA",United States,33.9616801,-118.3531311,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
43ab83ab,05-10-2024,Michelob ULTRA Arena,"Las Vegas, NV",United States,36.1749705,-115.137223,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
5bab83b0,04-10-2024,North Island Credit Union Amphitheatre,"Chula Vista, CA",United States,32.6400541,-117.0841955,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
1babe978,29-09-2024,PIA ARENA MM,Yokohama,Japan,35.45,139.65,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
babe97a,28-09-2024,PIA ARENA MM,Yokohama,Japan,35.45,139.65,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
7babee84,26-09-2024,TOKYO GARDEN THEATER,Tokyo,Japan,35.69,139.692,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
6babee86,24-09-2024,Osaka-jou Hall,Osaka,Japan,34.694,135.502,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
73abee81,22-09-2024,Sky Hall Toyota,Toyota,Japan,35.0833333,137.15,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
4bab83be,16-09-2024,Spark Arena,Auckland,New Zealand,-36.8666667,174.7666667,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
5bab83b8,13-09-2024,Qudos Bank Arena,Sydney,Australia,-33.8678499639382,151.207323074341,The Future Past,"Doctor Doctor (from tape, UFO song)<br>Blade Runner (End Titles) (from tape, Vangelis song)<br>Caught Somewhere in Time<br>Stranger in a Strange Land<br>The Writing on the Wall<br>Days of Future Past<br>The Time Machine<br>The Prisoner<br>Death of the Celts<br>Can I Play With Madness<br>Heaven Can Wait<br>Alexander the Great<br>Fear of the Dark<br>Iron Maiden<br>Hell on Earth<br><b>Encore 1:</b><br>The Trooper<br>Wasted Years<br>Always Look on the Bright Side of Life (from tape, Monty Python song)<br>"
