venue_id,city_id,venue
73d512e9,2618425,Royal Arena
13d2c551,3133880,Dahls Arena
3bd49cf8,2673730,Tele2 Arena
63d61e53,658225,Hartwall Areena
2bd63826,588409,Saku Suurhall
7bd4624c,4397340,Hollywood Casino Amphitheatre
5bd61fa0,4393217,Sprint Center
2bd4886e,5072006,Pinnacle Bank Arena
13d5e579,5506956,T-Mobile Arena
bd5412e,5391710,Glen Helen Amphitheater
43d61fa3,4684888,American Airlines Center
4bd61fc6,4699066,Toyota Center
6bd7ca12,4544349,Chesapeake Energy Arena
3bd378a8,2653822,Motorpoint Arena Cardiff
73d476f9,2655603,Barclaycard Arena
7bd63ac8,2644210,Echo Arena
23d40cb3,2657832,AECC GE Oil & Gas Arena
23d4703b,2648579,The SSE Hydro
53d62f09,2638077,Sheffield Arena
bd58552,2911298,Barclaycard Arena
73d61e5d,2860408,König-Pilsener-Arena
43d22f73,6693269,Rockhal Main Hall
3bd0189c,683506,Piața Constituției
7bd66284,3190261,Spaladium Arena
7bd60658,3169070,Ippodromo delle Capannelle
33d7cccd,6534466,Mediolanum Forum di Assago
53d05701,2659422,Plaine de l'Asse
3bd4246c,3109981,Parc de Can Zam
53d01381,2510911,Estadio La Cartuja de Sevilla
73d47e15,3117735,Barclaycard Center
33d4a8c9,2267057,MEO Arena
23d40093,6359224,Campo de fútbol Celeiro
33d5dcd5,3056508,Letisko Žilina
3d759d7,3067696,Stadion Eden
5bd7e7d4,3081368,Stadion Miejski
63d5a6f3,659180,Kantolan Tapahtumapuisto
13d63975,524901,Olympijskiy Stadium
3bd780ec,2620425,Jyske Bank Boxen
7bd61e6c,2799511,Boeretang
6bd79202,3156764,Telenor Arena
33d6c4d9,2988507,Hippodrome de Longchamp
3d6253f,2761369,Donauinsel
2bd53cba,2659811,Allmend
4bd63716,2867714,Olympiastadion
5bd58f68,993800,Carnival City Festival Lawns
7bd37e18,3369157,Grand Arena at GrandWest Casino
73d76aa5,2063523,Perth Arena
2bd6382a,2193733,Vector Arena
5bd41348,2192362,Horncastle Arena
63d4ce37,1796236,Mercedes-Benz Arena
bd5e51a,1816670,LeSports Center
4bd217ee,1850147,Ryougoku Kokugikan
7bd3cea4,5359488,The Forum
53d61fad,5419384,Pepsi Center
63d6ce7b,5946768,Rexall Place
23d63847,4984565,The Palace of Auburn Hills
1bd6d918,6167865,Air Canada Centre
23d63cc7,5128581,Madison Square Garden
6bd41616,3448439,Allianz Parque
13d4e9a9,3399415,Arena Castelão
5bd63fd8,3469058,Ginásio Nilson Nelson
3bd48c1c,3470127,Esplanada do Mineirão
23d6c0f7,3451190,HSBC Arena
bd75102,3860259,Estadio Mario Alberto Kempes
6bd62e12,3621849,Estadio Ricardo Saprissa
2bd4bcee,3583361,"Estadio Jorge ""Mágico"" González"
1bd7b9a0,11414139,Auditorio Banamex
5bd637b4,5506956,Mandalay Bay Events Center
73d2ee9d,2645161,Knebworth House
3bd65878,3036784,La Citadelle
43d70bab,2960135,Herchesfeld
13d49ded,2688368,Bråvalla Flygfottilj
13d4dd95,3088171,INEA Stadion
6bd73a92,792680,Kalemegdan Park
bd05156,7286458,Flugplatz Interlaken
43d63737,2861650,Zeppelinfeld
43d6cb0f,3078610,Velodrom
73d786a5,2861653,Nürburgring
33d7bc45,3054638,Papp László Sportaréna
1bd4318c,3181928,Arena Joe Strummer
7bd61e68,2750053,Goffertpark
23d7985f,3474570,Jockey Club
7bd62eb4,3435910,Estadio River Plate
4bd78b82,3464975,Bio Parque
3bd6d854,3451190,Cidade do Rock
6bd7daa2,3448439,Arena Anhembi
3bd6303c,5391710,San Manuel Amphitheater
3d47943,4671654,Austin360 Amphitheater
63d6caab,4397340,Verizon Wireless Amphitheater
43d63b5b,4487042,Walnut Creek Amphitheatre
1bd671b0,745042,Inönü Stadyumu
bd6c97a,658225,Olympiastadion
13d7cdb1,498817,Ledovy Dvorets
73d4b2d5,2675397,Friends Arena
33d6608d,2692969,Malmö Stadion
7bd49ebc,2860408,Open Air an der KöPi-Arena
7bd7b608,3099434,Ergo Arena
bd675e6,3093133,Atlas Arena
6bd53612,2959945,Natursportpark Hirtenhof
33d71071,6299653,Letiště Piešťany
73d61e81,2762714,Schwarzl Freizeitzentrum
4bd66742,2911298,O2 World
63d6367f,2950159,O2 World
3bd7e824,3037838,Snowhall Parc
3bd78068,3169447,Arena Concerti - Fiera Milano
1bd6cd04,2988507,Palais Omnisports de Paris-Bercy
bd1e9da,3128760,Parc del Fòrum
53d653bd,6359344,Auditorio Miguel Ríos
33d678d1,3109453,Bilbao Exhibition Centre
63d78e3b,4684888,Gexa Energy Pavilion
4bd7b736,5423908,Comfort Dental Amphitheatre
13d64d1d,5454711,Hard Rock Casino Albuquerque Presents The Pavilion
7bd13600,5359777,Verizon Wireless Amphitheatre
63d7fa8b,5308655,Ashley Furniture HomeStore Pavilion
4bd6d3a2,5408617,Sleep Train Amphitheatre
5bd6d7b4,5375480,Shoreline Amphitheatre
63d66acf,5785965,White River Amphitheatre
53d6c705,6173331,Pacific Coliseum
73d6ce79,6183235,MTS Centre
5bd00b18,5247387,Amphitheater Venue
43d73f3b,4924198,Klipsch Music Center
bd6359a,4988998,DTE Energy Music Theatre
43d6c3b3,5114500,Darien Lake Performing Arts Center
6bd6ce5a,6141190,Centennial Park
4bd6c372,6167865,Molson Amphitheatre
3d7258b,6325494,Colisée Pepsi
53d2dfe5,6094817,LeBreton Flats Park
6bd63eaa,4913723,First Midwest Bank Amphitheatre
63d63eaf,5263045,Marcus Amphitheater
53d63b69,4501018,Susquehanna Bank Center
3bd6d810,5143198,Nikon at Jones Beach Theater
43d63b2f,4943021,Comcast Center
53d657cd,4180439,Aaron's Amphitheatre at Lakewood
5bd63700,4460243,Verizon Wireless Amphitheatre
5bd62734,2655984,Odyssey Arena
bd6353a,2655603,National Indoor Arena
4bd6236a,2643123,Manchester Evening News Arena
bd639e2,2641170,Trent FM Arena Nottingham
5bd7bb90,2638077,Motorpoint Arena
4bd213f2,2648579,Scottish Exhibition and Conference Centre
4bd07bb6,3121437,Open Air Getafe
1bd481b4,2268339,Algarve Bikers Festival Grounds
23d6c423,498817,SKK Arena
5bd0e738,2783844,Festivalpark
5bd5b3ac,2614481,Dyrskuepladsen
3bd7fc0c,3175537,Autodromo Internazionale Enzo e Dino Ferrari
3bd0504c,2659551,St. Jakobshalle
23d62c27,745042,Maçka Küçükçiftlik Park
2bd60c0e,3067696,Výstavište
43d71ba7,756135,Lotnisko Bemowo
6bd61e6e,2825297,Hanns-Martin-Schleyer-Halle
bd6d902,4174757,St. Pete Times Forum
3bd63c18,4174403,BankAtlantic Center
4bd60be2,4568127,Coliseo José Miguel Agrelot
43d02f1f,6317953,Expotrade Convention Center
43d1d38f,3393536,Área Externa do Centro de Convenções
53d45791,3405870,Parque de Exposições
3bd7b8b4,3469058,Estacionamento do Estádio Mané Garrincha
6bd602c6,3936454,Estadio San Marcos
5bd63b18,3688689,Parque Simón Bolívar
7bd67ec8,1835848,Olympic Gymnastics Arena
3d321ef,2063523,Claremont Showground
6bd62ab2,2078025,Bonython Park
33d6c4e9,2158177,Royal Melbourne Showgrounds
63d29a0f,2147714,Sydney Showground
33d31491,2174003,Brisbane Showgrounds
6bd6c65e,2147714,Sydney Entertainment Centre
7bd62af0,2158177,Hisense Arena
23d79c63,1650534,Garuda Wisnu Kencana
bd79dfe,1642911,Carnaval Beach Ancol
73d62205,1880252,Singapore Indoor Stadium
3d6494f,2509954,Auditorio Marina Sur
53d2375d,2796490,Domein Kiewit
13d601f9,3178496,Villa Manin
5bd7f788,681290,Polus Center
23d6d46b,3054638,Óbudai-Sziget
3bd654f4,640999,Kirjurinluoto
13d64d3d,2673730,Stora skuggan
3d6211b,2964574,The O2
